LONGNAME,DISTRICT,TOTAL,TARGET_DEV,BLACKNH,WHITENH,HISP,ASIANNH,TOTAL18,Voters,Reock,OBJECTID,GlobalID,REPNAME,ShapeSTArea,ShapeSTLength
North,1,61913,-169,26873,20680,8208,3443,46390,39242,0.52,1,{65B745D1-1E6F-4295-9FE3-6FA4D302C244},,915216323.671492,222988.874426356
South,3,61977,-105,33406,20382,4313,1390,47984,42350,0.34,3,{F7305141-A70F-477A-B172-AFAD49A989A9},,478710531.849671,175363.952661608
Central,2,62357,275,19990,30188,6767,3142,50345,40904,0.52,5,{6891E447-A280-48F8-95E2-385F8B370045},,564945367.502397,123738.536375074
